Key,Value

1,"The galaxy is littered with the bones of forgotten stations
[PAUSE=1]
Collapsed colonies, derelict ships, and research outposts left to rot."

2,"But nothing stays forgotten forever.

Not when there's tech to strip. Data to steal. Bodies to loot."
3,"That’s where we come in.
[PAUSE=0.5]
No planet. No home. Just a crew, a ship, and a lockpick for every door."
4,"We are Salvagers.

We live between the cracks — the places the Federation pretends don’t exist."
5,"The Federation calls us thieves. Pirates. Vermin.
   
   They don’t like us poking around their lost projects and unsecured zones."
6,"But there’s worse things out there than lawmen.
   
   Zombies still wearing their badges. Rogue AI whispering through station speakers.
   And... things that don’t have names."
7,"Still, we go in.
  
  Every door we breach could be our payday. Or our tomb."
8,"Still, we go in.
   
   Every door we breach could be our payday. Or our tomb."
9,"Welcome to the crew.
   
   Gear up. Eyes open. Don’t trust anything that still moves."
