Key,Value

FloatingText.Miss,"*Raté"
FloatingText.Damage,"{0}"
FloatingText.Heal,"{0}"
FloatingText.FriendlyFire,"Tire ami!"
FloatingText.LevelUp,"Niveau superieur!"
FloatingText.XpGain,"{0} XP"

Interaction.RandomContainer.Empty,"Vide"
Interaction.RandomContainer.Loot,"{1}x {0}"
Interaction.RandomContainer.LootSingle,"{0}"
Interaction.Dismantable.Interact,"Désassembler..."
Interaction.Elevator.Interact,"Entrer..."
Interaction.Elevator.Cancel.VictoryConditions,"*TODO* Victory Conditions Not Achieved!"
Interaction.Container.Interact,"Chercher..."
Interaction.Cryopod.Interact,"Ouvrir..."
Interaction.Terminal.Interact,"Hacker..."
Interaction.ItemPickup.Interact,"Ramasser..."
Interaction.Reload,"Recharger..."

VictoryCondition.LeaveTheStation,"Quiter la staion ({0} équipage restant)"
VictoryCondition.KillFederationSoldiers,"<color=red>Tuer {0}/{1} Soldats de la Federation.</color>"
VictoryCondition.KillMrBonson,"<color=red>Tuer Mr Bonson</color>"
VictoryCondition.HackTerminalsVictoryCondition,"Hack {0}/{1} terminaux."
VictoryCondition.HaveItemsCondition,"Avoir {0}/{1} de l'object {2}"
