Key,Value

1,"La galaxie est remplis des vestiges des stations oubliés
[PAUSE=1]
Colonies effrondrées, Vaissaux délaissés, et des avant-posts de recherche laissés à pourrir."

2,"Mais rien ne reste oublier à jamais.

Pas quand il y a de la technologie à dépoullié. Données à volé. Cadavres à pillé."
3,"C'est là où nous intervenons.
[PAUSE=0.5]
Sans planète. Sans maison. juste un équipage, un vaissau, et un crochet pour chaques portes."
4,"Nous sommes les Récupérateurs.

Nous vivons entre les lignes — les lieux que la Federation prétends qui n'existe pas."
5,"La Federation nous appelent des voleurs. Pirates. Vermines.
   
   Ils n'apricient pas lors que nous fouillons dans leurs projets perdus et zones non-sécurisés."
6,"Mais il existe des choses plus horribles que les hommes de lois.
   
   Zombies qui portent toujours leurs badges. IA Renégat murmurants à travers les enceintes des stations.
   Et... des choses qui ne possèdent pas de noms."
7,"Cependant, nous y entrons.
  
  Chaques portes que nous cassons peut-être notre jour de paie. Ou notres tombes."
8,"Bienvenue dans l'équipe.
   
   Équipe toi. Yeux ouverts. Fait confiance a rien qui continue de bouger."
9,"*TODO* Welcome to the crew.
   
   Gear up. Eyes open. Don’t trust anything that still moves."
