Key,Value

# Items
FragGrenade.Name,"Grenade à fragmentation"
FragGrenade.Description,"Un explosif sous temps qui provoque des gros dégats dans un rayon large."
HackingDevice.Name,"Outil de piratage"
HackingDevice.Description,"Permet de pirater les terminaux"
Medkit.Name,"Kit de soin"
Medkit.Description,"Kit facile à utilisé contenant tous qu'un aurais besoin pour se rafistoler."
Stimpack.Name,"Stimpack"
Stimpack.Description,"Injection de produits chimiques qui offrent une augmentation de vitesse"
HeavyArmor.Name,"Armure Lourde"
HeavyArmor.Description,"Pièce d'armure plus durable et offre plus de protection"
LightArmor.Name,"Armure Légère"
LightArmor.Description,"Armure basique pour la protection du corps"
AccuracyAugment.Name,"Augmentation de Précision"
AccuracyAugment.Description,"Améliore le système de ciblage d'une arme pour une précicion accru."
Laser.Name,"Augmentation Laser"
Laser.Description,"Améliore les armes pour qu'elles émetent des rayons-laser de haute-energie."
AlienHeart.Name,"Augmentation Coeur Alien"
AlienHeart.Description,"Un organe alien qui améliore passivement la régéneration et la vitalité."
AlienLiver.Name,"Augmentation Foie Alien"
AlienLiver.Description,"Un organe mysterieux qui augmente la résistance aux poisons."
HealingPlasterAugment.Name,"Plâtre de soin"
HealingPlasterAugment.Description,"Applique un agent de soin rapide sur les blessures."
HOLKSerum.Name,"Augmentation sérum H.O.L.K"
HOLKSerum.Description,"Un sérum de combat qui boost drastiquement la force pour un risque d'instabilité."
HealingPlaster.Name,"Augmentation Plâtre de soin"
HealingPlaster.Description,"Utilisé pour soigner les blessures légères rapidement dans la zone de combat."
IncendiaryAmmo.Name,"Munition incendiaire"
IncendiaryAmmo.Description,"Munitions qui enflamme les enemmies en contact."
SpeedAugment.Name,"Augmentation de Vitesse"
SpeedAugment.Description,"Stimule les muscles et reflexes pour augmenter la vitesse des mouvments."
MechanicalParts.Name,"Pièces méchaniques"
MechanicalParts.Description,"Composants en plus utilisé dans la fabrication et réparations."
MedicalSupplies.Name,"Équipement médical"
MedicalSupplies.Description,"Materiaux éssentiel pour traiter les blessures et les affections."
PowerCell.Name,"Piles à combustible"
PowerCell.Description,"Une batterie compacte utiliser pour alimenté des appareils avancées et des armes."
Scrap.Name,"Feraille"
Scrap.Description,"Utilisé comme monnaie dans l'espace"
Shit.Name,"Merde"
Shit.Description,"Des déchets. Cela pourrais être utile pour quelque chose… étrangement."
Claws.Name,"Griffes"
Claws.Description,"Armes naturels d'un monstre"
CombatKnife.Name,"Couteau de Combat"
CombatKnife.Description,"Une armes fiable pour les combats rapprochés avec des grands dégats critique."
EnergySword.Name,"Épée d'Energie"
EnergySword.Description,"Une lame plasmique haute-technologie capable de couper à travers la majorité des materiaux."
Flamethrower.Name,"Lance Flamme"
Flamethrower.Description,"Une arme qui libère un cône de feu qui brûlent les enemmies."
GrenadeLauncher.Name,"*Mini Lance Grenade"
GrenadeLauncher.Description,"Un lanceur compact qui tire des grenades explosives aux ennemis."
LaserGun.Name,"Fusil Laser"
LaserGun.Description,"Une arme a distance qui tire des faiseaux de lumière concentré."
MEGAGUN.Name,"MEGAGUN"
MEGAGUN.Description,"Une arme éxprimentale énorme avec un pouvoir dévastateur."
Pickaxe.Name,"Pioche"
Pickaxe.Description,"Utilisé pour miné des resources ou bien briser à travers des obstacles faibles."
Pistols.Name,"Pistolet"
Pistols.Description,"Léger"
Rifle.Name,"Fusil"
Rifle.Description,"Arme polyvalante avec haute précision et dégats à n'importe quelle distance."
Shotgun.Name,"Fusil a pompe"
Shotgun.Description,"Tire une diffusion de plomb"
SMG.Name,"SMG"
SMG.Description,"Tire rappidement avec un précision moindre"
SniperRifle.Name,"Fusil de Précision"
SniperRifle.Description,"Arme de haute puissance conçu aux éliminations de longue distance."
GodPistol.Name,"Pistolet Dieu"
GodPistol.Description,"Papa?!!!"
GodAugment.Name,"Augmentation Dieu"
GodAugment.Description,"Papa?!!!"
LarvaSpawner.Name,"Générateur de Larve"
LarvaSpawner.Description,"Un engin organique qui fait aparaitre des larves qui aide au combat."

Effects.AmmoStatusEffect,"Effect de stat de Munition"
Effects.Regeneration,"Régénération de santé: {0}"

Value,"Valeur: {0}$"
NoValue,"Aucune valeur disponible."
NoDescription,"Aucune description disponible."

# Interactions
Interactions.CrewUpgrade.Name,"Appliquer l'amélioration"
Interactions.Medkit.Name,"Soigne {0}"

Interactions.Medkit,"Interagir..."

# Crew Upgrades
EnemyCounter.Name,"Conteur d'ennemi"
EnemyCounter.Description,"Affiche le nombre d'ennemi dans la zone."
FuelEfficientPumps.Name,"Pompe à Essence efficace"
FuelEfficientPumps.Description,"Offre une chance de 33% de ne pas consommer l'essence quand on utilise les moteurs du vaisseau."
JuiceEfficientPumps.Name,"Pompe à Jus efficace"
JuiceEfficientPumps.Description,"Réduis la consommation de jus par 33% lors de l'exploration des stations."
Upgrader.Name,"Module d'améliorateur"
Upgrader.Description,"Permet de démentler et améliorer des objets en dehors des stations de magasins."
AdvancedFlashlights.Name,"Lampe Torche Avancé"
AdvancedFlashlights.Description,"Augmente le rayon de vision de l'équipage dans l'explorations des staions."
