Key,Value

1,"Galaktyka usiana jest szczątkami zapomnianych stacji
[PAUSE=1]
Upadłe kolonie, opuszczone statki i placówki badawcze pozostawione na pastwę losu."

2,"Ale nic nie zostaje zapomniane na zawsze.

Nie, gdy jest technologia do zgarnięcia. Dane do kradzieży. Ciała do przeszukania."
3,"I tu wchodzimy my.
[PAUSE=0.5]
Bez planety. Bez domu. Tylko załoga, statek i wytrych do każdych drzwi."
4,"Jesteśmy Złomiarzami.

Żyjemy w szczelinach — tam, gdzie Federacja udaje, że nic nie ma."
5,"Federacja nazywa nas złodziejami. Piratami. Szkodnikami.
   
   Nie lubią, gdy grzebiemy w ich porzuconych projektach i niezabezpieczonych strefach."
6,"Ale są rzeczy gorsze niż stróże prawa.
   
   Zombie wciąż noszące swoje odznaki. Zbuntowane SI szepczące przez głośniki stacji.
   I... rzeczy bez imion."
7,"A mimo to wchodzimy.
  
  Każde drzwi, które wyważymy, mogą być wypłatą. Albo grobem."
8,"A mimo to wchodzimy.
   
   Każde drzwi, które wyważymy, mogą być wypłatą. Albo grobem."
9,"Witamy na pokładzie.
   
   Uzbrój się. Otwórz oczy. Nie ufaj niczemu, co wciąż się rusza."
