Key,Value

# Items
FragGrenade.Name,"Granat Odłamkowy"
FragGrenade.Description,"Ładunek wybuchowy z opóźnieniem, zadający duże obrażenia na szerokim obszarze."
HackingDevice.Name,"Urządzenie Hakerskie"
HackingDevice.Description,"Pozwala na włamywanie się do terminali."
Medkit.Name,"Apteczka"
Medkit.Description,"Zestaw do samodzielnego leczenia zawierający wszystko, co potrzebne do opatrzenia ran."
Stimpack.Name,"Stymulant"
Stimpack.Description,"Zastrzyk chemikaliów zwiększający szybkość poruszania się."
HeavyArmor.Name,"Ciężki Pancerz"
HeavyArmor.Description,"Bardziej wytrzymały pancerz zapewniający lepszą ochronę."
LightArmor.Name,"Lekki Pancerz"
LightArmor.Description,"Podstawowy pancerz chroniący ciało."
AccuracyAugment.Name,"Wzmacniacz Celności"
AccuracyAugment.Description,"Ulepsza systemy celownicze broni, zwiększając celność."
Laser.Name,"Wzmacniacz Laserowy"
Laser.Description,"Ulepsza broń, umożliwiając emisję wiązek wysokoenergetycznego lasera."
AlienHeart.Name,"Obce Serce"
AlienHeart.Description,"Obcy organ, który pasywnie zwiększa regenerację i witalność."
AlienLiver.Name,"Obca Wątroba"
AlienLiver.Description,"Tajemniczy organ zwiększający odporność na trucizny."
HealingPlasterAugment.Name,"Opatrunek Regeneracyjny"
HealingPlasterAugment.Description,"Nakłada szybko działający środek leczący rany."
HOLKSerum.Name,"Surowica H.O.L.K"
HOLKSerum.Description,"Surowica bojowa znacznie zwiększająca siłę, ale ryzykowna w użyciu."
HealingPlaster.Name,"Opatrunek Regeneracyjny"
HealingPlaster.Description,"Służy do szybkiego leczenia drobnych ran na polu bitwy."
IncendiaryAmmo.Name,"Amunicja Zapalająca"
IncendiaryAmmo.Description,"Amunicja, która podpala wrogów po trafieniu."
SpeedAugment.Name,"Wzmacniacz Szybkości"
SpeedAugment.Description,"Stymuluje mięśnie i refleksy, zwiększając prędkość poruszania się."
MechanicalParts.Name,"Części Mechaniczne"
MechanicalParts.Description,"Zapasowe komponenty używane do tworzenia i napraw."
MedicalSupplies.Name,"Zapas Medyczny"
MedicalSupplies.Description,"Niezbędne materiały do leczenia ran i chorób."
PowerCell.Name,"Ogniwo Energetyczne"
PowerCell.Description,"Kompaktowe źródło energii do zasilania zaawansowanych urządzeń i broni."
Scrap.Name,"Złom"
Scrap.Description,"Używany jako waluta w całej przestrzeni kosmicznej."
Shit.Name,"Gówno"
Shit.Description,"Dosłowne śmieci. Może do czegoś się przyda... jakoś."
Claws.Name,"Szpony"
Claws.Description,"Naturalna broń bestii."
CombatKnife.Name,"Nóż Bojowy"
CombatKnife.Description,"Niezawodna broń do walki wręcz z dużą szansą na trafienia krytyczne."
EnergySword.Name,"Miecz Energetyczny"
EnergySword.Description,"Zaawansowane ostrze z plazmy przecinające większość materiałów."
Flamethrower.Name,"Miotacz Ognia"
Flamethrower.Description,"Broń tworząca stożek ognia do palenia wrogów."
GrenadeLauncher.Name,"Mini Granatnik"
GrenadeLauncher.Description,"Kompaktowy granatnik miotający ładunki wybuchowe w kierunku wrogów."
LaserGun.Name,"Laser"
LaserGun.Description,"Broń dystansowa emitująca skoncentrowane wiązki światła."
MEGAGUN.Name,"MEGADZIAŁO"
MEGAGUN.Description,"Ogromna eksperymentalna broń o niszczycielskiej mocy."
Pickaxe.Name,"Kilof"
Pickaxe.Description,"Służy do wydobywania surowców lub niszczenia słabych przeszkód."
Pistols.Name,"Pistolety"
Pistols.Description,"Lekkie bronie boczne skuteczne na krótkim i średnim dystansie."
Rifle.Name,"Karabin"
Rifle.Description,"Wszechstronna broń o dużej celności i sile ognia na dystansie."
Shotgun.Name,"Strzelba"
Shotgun.Description,"Wystrzeliwuje rozrzut pocisków."
SMG.Name,"PM (Pistolet Maszynowy)"
SMG.Description,"Szybkostrzelna broń o niższej celności."
SniperRifle.Name,"Karabin Snajperski"
SniperRifle.Description,"Potężna broń zaprojektowana do precyzyjnych zabójstw na dużą odległość."
GodPistol.Name,"Pistolet Boga"
GodPistol.Description,"Tatusiu?!!!"
GodAugment.Name,"Boski Wszczep"
GodAugment.Description,"Tatusiu?!!!"
LarvaSpawner.Name,"Wylęgarka Larw"
LarvaSpawner.Description,"Organiczne urządzenie, które przywołuje larwy do pomocy w walce."

Effects.AmmoStatusEffect,"Efekt: Amunicja"
Effects.Regeneration,"Regeneracja zdrowia: {0}"

Value,"Wartość: {0}$"
NoValue,"Brak wartości."
NoDescription,"Brak opisu."

# Interactions
Interactions.CrewUpgrade.Name,"Zastosuj Ulepszenie"
Interactions.Medkit.Name,"Wylecz {0}"

Interactions.Medkit,"Interakcja..."

# Crew Upgrades
EnemyCounter.Name,"Licznik Wrogów"
EnemyCounter.Description,"Wyświetla liczbę wrogów na obecnym obszarze."
FuelEfficientPumps.Name,"Pompy Oszczędzające Paliwo"
FuelEfficientPumps.Description,"33% szans na niezużycie paliwa podczas używania silników statku."
JuiceEfficientPumps.Name,"Pompy Oszczędzające Energię"
JuiceEfficientPumps.Description,"Zmniejszają zużycie energii o 33% podczas eksploracji stacji."
Upgrader.Name,"Moduł Ulepszający"
Upgrader.Description,"Pozwala na złomowanie i ulepszanie przedmiotów poza stacjami handlowymi."
AdvancedFlashlights.Name,"Zaawansowane Latarki"
AdvancedFlashlights.Description,"Zwiększają zasięg widzenia załogi podczas eksploracji stacji."
