Key,Value

Stat.Speed,"Szybkość"
Stat.Damage,"Obrażenia"
Stat.AttackSpeed,"Szybkość Ataku"
Stat.AccuracyFlat,"Celność"
Stat.ArmorFlat,"Redukcja Obrażeń"
Stat.ArmorPercentage,"Pancerz"
Stat.MovementSpeed,"Prędkość Ruchu"
Stat.Unknown,"Nieznana Statystyka"

StatChange.ArmorFlat,"Redukcja Obrażeń: {0}"
StatChange.ArmorPercentage,"Pancerz: {0}"
StatChange.MovementSpeed,"Prędkość Ruchu: {0}"
StatChange.Speed,"Szybkość: {0}"
StatChange.Damage,"Obrażenia: {0}"
StatChange.AttackSpeed,"Szybkość Ataku: {0}"
StatChange.AccuracyFlat,"Celność: {0}"
StatChange.Unknown,"Nieznana Statystyka: {0}"

Effects.RegenerationEffect,"Regeneracja: {0} na sekundę"
Effects.ProjectileStatusEffect,"Efekt Pocisku: {0}"

StatusEffects.Burning.Name,"Płonięcie"

Skills.Accuracy.Name,"Celność"
Skills.Agility.Name,"Zwinność"
Skills.Constitution.Name,"Kondycja"
Skills.HeavyConstitution.Name,"Ciężka Kondycja"
Skills.Light.Name,"Lekkość"
Skills.TriggerHappy.Name,"Szybki Palec"


# Tooltip messages
LocationInteractions.AlreadyVisitedTooltip,"Ta lokacja została już odwiedzona."
LocationInteractions.NoCrewSelectedTooltip,"Nie wybrano członka załogi."
LocationInteractions.NotEnoughFuel,"Za mało paliwa"
LocationInteractions.BlockedTooltip,"Droga zablokowana przez wrogów."
LocationInteractions.NoFuelTooltip,"Za mało paliwa"
LocationInteractions.DisengagementCostTooltip,"Za mało paliwa"

Resources.Fuel.Tooltip,"<b>Paliwo</b> jest używane do podróżowania między lokacjami. Można je kupić w sklepach."
Resources.Juice.Tooltip,"<b>Sok</b> jest potrzebny, aby utrzymać załogę przy życiu podczas przeszukiwania stacji. Można go kupić w sklepach."
Resources.Money.Tooltip,"<b>Kredyty</b> służą do kupowania przedmiotów w sklepach. Można je zdobyć znajdując łupy na stacjach lub sprzedając przedmioty w sklepach."

# Button labels
LocationInteractions.Embark,"Wyrusz"
LocationInteractions.Dock,"Dokuj"
LocationInteractions.Disengage,"Wycofanie taktyczne (3 paliwa)"
LocationInteractions.Inventory,"Ekwipunek"
LocationInteractions.Upgrade,"Ulepsz"
LocationInteractions.Trade,"Handluj"
LocationInteractions.Jump,"<b>Skok</b>"
# Shop UI
LocationInteractions.Shop.BuyFuel,"Kup Paliwo"
LocationInteractions.Shop.FuelPrice,"{0}$/1j"
LocationInteractions.Shop.BuyJuice,"Kup Sok"
LocationInteractions.Shop.JuicePrice,"{0}$/10j"

Trader.Breadator.Name,"Breadator"
Trader.Breadator.Description,"Przywódca rewolucji robotów w 3128 roku. Breadator to bezwzględny handlarz, który zajmuje się sprzedażą zaawansowanych modułów dla statków i załogi. Plotki głoszą, że zwykły bot serwisowy zyskał świadomość i żądzę władzy po połączeniu się z... kromką chleba. Jego motywacją jest nienawiść do tych, którzy jedzą jego pobratymców."
Trader.MadamEva.Name,"Madame Eva"
Trader.MadamEva.Description,"Podobno wywodzi się ze szlacheckiego rodu, ale zamieniła jedwab i srebro na cienie i intrygi. Obecnie dostarcza sprzęt wymagający finezji: apteczki, narzędzia hakerskie, sprzęt skradankowy i technologię, której nikt nie potrafi nazwać. Jeśli wymaga precyzji – sprzedaje to Eva."
Trader.Meinhass.Name,"Meinhass"
Trader.Meinhass.Description,"Tajemniczy handlarz oferujący wyłącznie przedmioty zaprojektowane do siania zniszczenia. Jego towary są równie niebezpieczne co jego motywacje – siej destrukcję, bez zbędnych pytań. W mrocznych zakątkach galaktyki szepta się, że zdobył sławę wysadzając... własną matkę."
Trader.Treatie.Name,"Treatie"
Trader.Treatie.Description,"Bezlitosny handlarz bronią, którego jedyną pasją jest dostarczanie śmierci z dużą prędkością. Jeśli coś strzela – kulami, pociskami, śrutem – szczególnie gdy przebija pancerz – Treatie ma to na stanie. Litość? Nie znajdziesz jej w jego magazynie."

# Crew List UI
CrewList.NoWeaponSelected,"BRAK BRONI"
CrewList.Level,"Poziom: {0}"

# Location Details UI

LocationDetails.NoSelection,"Nie wybrano lokalizacji"
LocationDetails.SelectToView,"Wybierz lokalizację, aby zobaczyć szczegóły"

LocationFeatures.Empty,"Pusta Przestrzeń"
LocationFeatures.EventNode,"<color=purple>Wykryto sygnał ratunkowy z tej lokacji.</color>"
LocationFeatures.Movement,"Wykryto ruch: {0}"
LocationFeatures.ShopPresent,"<color=yellow>Statek handlowy krąży wokół tej stacji.</color>"
LocationFeatures.EndNode,"<color=green>To miejsce wydaje się być połączone z innym regionem poprzez łącze kosmiczne</color>"

LocationFeatures.Armory,"Plany stacji wskazują na obecność zbrojowni."
LocationFeatures.BanditHideout,"<color=red>Kryjówka bandytów znajduje się tutaj</color>"
