Key,Value

# Ingame UI
Pause,"Пауза"
JuiceWarning,"*TODO* <b>Alert</b>
Juice reserves critically low.
Radiation exposure imminent - crew survival at risk."
Pause.Controls.Title,"Управление"
Pause.Controls.Content,"W/A/S/D – Перемещение камеры
Правая кнопка мыши – Перемещение/взаимодействие
Левая кнопка мыши – Выбор юнита (кликнуть/выделить)
Колесо мыши – Приблизить/отдалить
TAB – Замедление времени (увеличивает расход Сока)
I / F – Открыть инвентарь
Q – Переключение между юнитами
R – Выделить всех членов экипажа
1–9 – Выбрать конкретного бойца
Пробел – Остановить движение
E – Переместить камеру на выбранного юнита
Q – Переключение навыков выбранного юнита"

EnemyCounterUpgrade.CounterText,"Врагов: {0}"

EndMessage,"Членов экипажа не обнаружено[PAUSE=1]
Отбываем..."


