Key,Value

1,"Галактика усеяна останками забытых станций.
[PAUSE=1]
Разрушенные колонии, заброшенные корабли и гниющие исследовательские станции."

2,"Но ничто не остаётся забытым навсегда.

Особенно тогда, когда есть технологии, которые можно изучить. Данные, которые можно собрать. Тела, которые можно обыскать."
3,"Вот тут-то и появляемся мы.
[PAUSE=0.5]
Нет планеты. Нет дома. Только команда, корабль и отмычка для каждой двери."
4,"Салваджеры.

Мы живём в местах, о существовании которых Федерация даже не хочет думать."
5,"Федерация называет нас ворами. Пиратами. Падальщиками. Им не нравится, когда мы рыщем в их затерянных проектах и незащищённых зонах."
6,"Но есть вещи и похуже, чем люди Закона.

Зомби всё ещё носят значки. Вышедший из-под контроля ИИ шепчет в динамиках станции.

И ходят... твари, у которых нет имён."
7,"Однако - мы стыкуемся.

За каждой выломанной нами дверью могут быть ресурсы. А может - наш последний миг."
8,"Однако - мы стыкуемся.

За каждой выломанной нами дверью могут быть ресурсы. А может - наш последний миг."
9,"Добро пожаловать в команду.

Снаряжайся. Будь начеку. Не доверяй ничему, что движется."
