Key,Value

# Items
FragGrenade.Name,"Граната"
FragGrenade.Description,"Взрывное устройство с таймером, наносящее серьёзный урон в широком радиусе."
HackingDevice.Name,"Устройство для взлома"
HackingDevice.Description,"Позволяет взламывать терминалы"
Medkit.Name,"Аптечка"
Medkit.Description,"Простой в использовании набор со всем необходимым для оказания первой помощи."
Stimpack.Name,"Стимпак"
Stimpack.Description,"Доза химикатов, увеличивающая скорость движения."
HeavyArmor.Name,"Тяжёлая броня"
HeavyArmor.Description,"Прочная броня, обеспечивающая отличную защиту."
LightArmor.Name,"Лёгкая броня"
LightArmor.Description,"Базовая броня для защиты тела."
AccuracyAugment.Name,"Аугмент точности"
AccuracyAugment.Description,"Улучшает систему наведения оружия для повышения точности."
Laser.Name,"Аугмент Лазера"
Laser.Description,"Также известный, как коллиматор. Модернизирует оружие, добавляя лазерный луч."
AlienHeart.Name,"Аугмент Сердца Пришельца"
AlienHeart.Description,"Орган пришельца, пассивно усиливающий регенерацию и выносливость."
AlienLiver.Name,"Аугмент Печени пришельца"
AlienLiver.Description,"Таинственный орган, повышающий устойчивость к ядам."
HealingPlasterAugment.Name,"Аугмент Пластырь"
HealingPlasterAugment.Description,"Наносит быстродействующее целебное средство на раны."
HOLKSerum.Name,"Аугмент сыворотки H.O.L.K"
HOLKSerum.Description,"Боевая сыворотка, резко увеличивающая силу, но очень нестабильна."
HealingPlaster.Name,"Пластырь"
HealingPlaster.Description,"Используется для быстрого лечения лёгких ранений в бою."
IncendiaryAmmo.Name,"Аугмент Огненных Пуль"
IncendiaryAmmo.Description,"Зажигательные боеприпасы, воспламеняющие цель при попадании."
SpeedAugment.Name,"Аугмент Скорости"
SpeedAugment.Description,"Стимулирует мышцы и рефлексы, увеличивая скорость передвижения."
MechanicalParts.Name,"Запчасти"
MechanicalParts.Description,"Запасные детали, используемые для ремонта."
MedicalSupplies.Name,"Медикаменты"
MedicalSupplies.Description,"Необходимые материалы для лечения ран и болезней."
PowerCell.Name,"Батарея"
PowerCell.Description,"Компактная батарея для питания устройств и оружия."
Scrap.Name,"Лом"
Scrap.Description,"Используется как валюта в космосе"
Shit.Name,"Мусор"
Shit.Description,"Возможно, как-то где-то пригодится…"
Claws.Name,"Когти"
Claws.Description,"Природное оружие зверя — острое и смертоносное."
CombatKnife.Name,"Боевой нож"
CombatKnife.Description,"Надёжное оружие ближнего боя с высоким шансом критического удара."
EnergySword.Name,"Энергетический Меч"
EnergySword.Description,"Высокотехнологичный плазменный клинок, прорезающий большинство материалов."
Flamethrower.Name,"Огнемёт"
Flamethrower.Description,"Оружие, извергающее струю огня. Название говорит само за себя."
GrenadeLauncher.Name,"Гранатомёт"
GrenadeLauncher.Description,"Компактный гранатомёт, стреляющий гранатами."
LaserGun.Name,"ЛАЗЕРГАН"
LaserGun.Description,"Оружие дальнего боя, стреляющее концентрированным светом."
MEGAGUN.Name,"МЕГАГАН"
MEGAGUN.Description,"Огромное экспериментальное оружие разрушительной силы."
Pickaxe.Name,"Кирка"
Pickaxe.Description,"Используется для добычи ресурсов или разрушения преград."
Pistols.Name,"Пистолеты"
Pistols.Description,"Лёгкое оружие, эффективное на близкой и средней дистанции."
Rifle.Name,"Ружьё"
Rifle.Description,"Универсальное оружие с высокой точностью и уроном на расстоянии."
Shotgun.Name,"Дробовик"
Shotgun.Description,"Стреляет дробью, отлично подходит для ближнего боя."
SMG.Name,"Пистолет-пулемёт"
SMG.Description,"Стреляет быстро, но с низкой точностью. Хорошо подходит для огня на подавление."
SniperRifle.Name,"Снайперская винтовка"
SniperRifle.Description,"Мощное оружие, предназначенное для точного уничтожения целей с большого расстояния."
GodPistol.Name,"Богопушка"
GodPistol.Description,"Отче?!!!"
GodAugment.Name,"Аугмент Бога"
GodAugment.Description,"Отче?!!!"
LarvaSpawner.Name,"Спавнер личинок"
LarvaSpawner.Description,"Органический девайс, создающий помогающих в битве личинок."

Effects.AmmoStatusEffect,"Эффект боеприпасов"
Effects.Regeneration,"Регенерация здоровья: {0}"

Value,"Цена: {0}$"
NoValue,"Стоимость отсутствует."
NoDescription,"Описание отсутствует."

# Interactions
Interactions.CrewUpgrade.Name,"Применить улучшение"
Interactions.Medkit.Name,"Вылечить {0}"

Interactions.Medkit,"Лечим..."

# Crew Upgrades
EnemyCounter.Name,"Счётчик врагов"
EnemyCounter.Description,"Показывает количество врагов в текущей зоне."
FuelEfficientPumps.Name,"Топливные насосы"
FuelEfficientPumps.Description,"Даёт 33% шанс не потратить топливо при использовании двигателей корабля."
JuiceEfficientPumps.Name,"Соковые насосы"
JuiceEfficientPumps.Description,"Снижает расход Сока на 33%."
Upgrader.Name,"Модуль улучшения"
Upgrader.Description,"Позволяет разбирать и улучшать предметы вне магазинов."
AdvancedFlashlights.Name,"Улучшенные фонарики"
AdvancedFlashlights.Description,"Увеличивает дальность обзора экипажа."
NOT-FOUND-NOT-FOUND-NOT-FOUND-NOT-FOUND-# Item Names,
