Key,Value

# Location Selector Tutorial
Steps.Resources,"Эта панель показывает ваши текущие ресурсы.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.Crew,"Здесь отображаются доступные вам члены экипажа.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.Station,"В этой области отображается станция, к которой вы сейчас пристыкованы.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.Map.1,"Здесь вы можете увидеть все известные локации в регионе.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.Map.2,"Кликните на любую локацию, чтобы узнать о ней больше.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.Map.3,"Локации могут быть следующих типов: станции, <color=yellow>магазины</color>, <color=purple>ивенты</color> и <color=red>боссы</color>.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.LocationInteractions,"Эта панель позволяет взаимодействовать с выбранной на карте локацией.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.LocationInteractions.Embark,"Нажмите <b>В путь</b>, чтобы переместиться в выбранную локацию. Это стоит 1 единицу топлива.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.LocationInteractions.Dock,"Нажмите <b>Пристыковаться</b>, чтобы попасть на станцию. Там вам придётся исследовать комнаты, сталкиваться с угрозами и собирать ресурсы.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.LocationInteractions.Inventory,"Откройте <b>Инвентарь</b>, чтобы управлять снаряжением и навыками экипажа.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.LocationInteractions.Upgrader,"Зайдите в <b>Улучшатель</b>, чтобы прокачать оружие с помощью кредитов.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.LocationInteractions.Docking,"Находясь рядом с неисследованными станциями, вы можете <b>Пристыковаться</b> и высадиться на них <b>выбранной</b> вами командой.

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"
Steps.Finish,"Вот и всё!
Берегитесь того, что скрывается на заброшенных станциях — инфицированные, пришельцы, сумасшедшие роботы и агенты Федерации охотятся за вами.
Будьте начеку и удачи на этом нелёгком пути!

<size=50%>Нажмите Ввод/Пробел чтобы продолжить...</size>"

# In Game Tutorial
Welcome,"Добро пожаловать в игру!
Нажмите пробел, чтобы продолжить..."
SelectUnit,"Выберите юнита с помощью мыши.
Кликните или выделите его."
MoveCommand,"Хорошо!
Теперь прикажите ему двигаться.
 Кликните ПКМ, чтобы выделенный юнит пошёл."
Explore,"Отлично!
Теперь продвинемся вверх и изучим станцию."
SearchCabinet,"Это же шкафчик! Наверняка с чем-то ценным...
 Нажмите ПКМ, чтобы взаимодействовать с ним!"
OpenInventory,"Вы нашли автомат! Теперь нужно его экипировать.
Нажмите <b>I/F</b>, чтобы открыть инвентарь."
EquipRifle,"Нажмите на автомат, чтобы его экипировать."
KillZombieMove,"Что ж, теперь пришло время его использовать... 
Двигайтесь направо и убейте зомби."
KillZombie,"<color=red>В атаку!</color>"
ProceedDown,"Уф, было жёстко...
 Двигайтесь дальше по коридору."
CryoPod,"Это <color=#00ffff>Криогенная Капсула</color>, провзаимодействуйте с ней, чтобы пробудить того, кто внутри."
NewFriend,"Похоже, у нас новый друг!
 Двигайтесь дальше.
Будьте осторожны, зомби не дремлют."
Extract,"Пришло время убираться отсюда!
 Покиньте станцию с помощью Лифта (ПКМ)."
