Key,Value

1,"ma sumo suli li jo e tomo mute pi sona weka
[PAUSE=1]
kulupu weka en tomo en tomo pi kama sona li jaki."

2,"taso sona ijo li weka ala lon tenpo ale.

ilo wawa li lon. sona li lon. jan moli li lon. mi wile e kama jo e ni ale."
3,"ni li mi.
[PAUSE=0.5]
mi lon ala tan ma suli sike, tan tomo. jan pi nanpa lili en tomo tawa en ilo pi open lupa."
4,"mi li kulupu Savate.

mi lon insa lupa. jan Petela li toki e ni: lupa ni li lon ala."
5,"jan Petela li toki e ni: mi jan lanpan.
   
   mi luka e ijo ona. mi tawa ma ona. ni li ike tawa ona."
6,"taso sitelen lawa la, ijo monsuta mute li lon.
   
   moli tawa li awen jo e sitelen nimi lon sijelo ona.
   kin la... ijo pi nimi ala li lon."
7,"taso, mi tawa a.
  
  mi open e lupa la, mi jo e mani. anu jo e moli."
8,"kulupu mi la, o kama pona a.
   
   o lanpan e ijo utala. o open e lukin. ijo li tawa la, o isipin ike."
9,"*TODO* Welcome to the crew.
   
   Gear up. Eyes open. Don’t trust anything that still moves."
