Key,Value

# Items
FragGrenade.Name,"sike wawa"
FragGrenade.Description,"ilo tenpo pi kipisi mute li utala wawa lon ma suli."
HackingDevice.Name,"ilo ante"
HackingDevice.Description,"ilo ni li ken ante e ilo ante."
Medkit.Name,"poki pona"
Medkit.Description,"poki li jo e len e misikeke."
Stimpack.Name,"ko wawa"
Stimpack.Description,"ko ni li pana e noka wawa."
HeavyArmor.Name,"lipu wawa mute"
HeavyArmor.Description,"lipu ni li pana e awen suli."
LightArmor.Name,"lipu wawa"
LightArmor.Description,"lipu ni li pana e awen lili."
AccuracyAugment.Name,"ilo pi lukin pona"
AccuracyAugment.Description,"kipisi li pona e lukin jan."
Laser.Name,"ilo pi linja loje"
Laser.Description,"kipisi li pana e linja loje tawa ijo utala."
AlienHeart.Name,"kipisi tawa pi ike nasa"
AlienHeart.Description,"poki tawa pi telo loje tan jan nasa. ona li pona e jan."
AlienLiver.Name,"kipisi seli pi ike nasa"
AlienLiver.Description,"leko pi ike wawa nasa. ona pona e awen pi telo ike."
HealingPlasterAugment.Name,"lipu pona"
HealingPlasterAugment.Description,"lipu li pona lon tenpo lili."
HOLKSerum.Name,"ilo pi ko H.O.L.K"
HOLKSerum.Description,"ko utala li pona e wawa li ike e pilin."
HealingPlaster.Name,"ilo pi lipu pona"
HealingPlaster.Description,"ilo li pona lon tenpo lili."
IncendiaryAmmo.Name,"kiwen seli"
IncendiaryAmmo.Description,"kiwen utala lili li seli e jan ike lon tenpo pilin."
SpeedAugment.Name,"ilo pi wawa noka"
SpeedAugment.Description,"ilo li pona e wawa noka."
MechanicalParts.Name,"kipisi ilo"
MechanicalParts.Description,"sina ken kepeken e kipisi ilo lon pona ilo."
MedicalSupplies.Name,"misikeke"
MedicalSupplies.Description,"misikeke en len pona."
PowerCell.Name,"poki wawa"
PowerCell.Description,"poki wawa lili li wawa e ilo ante."
Scrap.Name,"kiwen"
Scrap.Description,"kiwen li mani lon ma ni."
Shit.Name,"pakala"
Shit.Description,"pakala. ken la"
Claws.Name,"nena"
Claws.Description,"nena kiwen utala. kipisi mute."
CombatKnife.Name,"ilo kipisi"
CombatKnife.Description,"ilo utala wawa tan utala poka."
EnergySword.Name,"ilo kipisi wawa"
EnergySword.Description,"ilo kipisi utala suli wawa. ona jo e wawa mute."
Flamethrower.Name,"ilo seli"
Flamethrower.Description,"ilo pi pana seli. o seli e ike!"
GrenadeLauncher.Name,"ilo pi tawa sike"
GrenadeLauncher.Description,"ilo ni li tawa e sike wawa."
LaserGun.Name,"ilo pi linja loje"
LaserGun.Description,"ilo utala pi linja loje li pana e linja suno wawa."
MEGAGUN.Name,"WAWA"
MEGAGUN.Description,"ilo utala wawa li jo e wawa... wawa."
Pickaxe.Name,"ilo pakala"
Pickaxe.Description,"ilo pakala li ken kipisi e ijo kiwen ante."
Pistols.Name,"ilo tu"
Pistols.Description,"ilo utala lili tu li pona poka."
Rifle.Name,"ilo utala suli"
Rifle.Description,"ilo utala pona. wawa li pona. pana li pona."
Shotgun.Name,"ilo pi kiwen mute"
Shotgun.Description,"ilo li pana e kiwen mute li pona lon poka."
SMG.Name,"ilo utala"
SMG.Description,"ilo li pana e kiwen mute lon tenpo lili."
SniperRifle.Name,"ilo pi kiwen wawa"
SniperRifle.Description,"ilo li pana e kiwen wawa wan."
GodPistol.Name,"ilo sewi"
GodPistol.Description,"mama o?!!!"
GodAugment.Name,"ilo sewi"
GodAugment.Description,"mama o?!!!"
LarvaSpawner.Name,"ilo pi pali linja"
LarvaSpawner.Description,"ilo li pali e linja ike jaki. ona li pona utala."

Effects.AmmoStatusEffect,"kiwen ko"
Effects.Regeneration,"pona pilin: {0}"

Value,"mani: {0}$"
NoValue,"mani li lon ala."
NoDescription,"sitelen li lon ala."

# Interactions
Interactions.CrewUpgrade.Name,"o pana e wawa"
Interactions.Medkit.Name,"o pona {0}"

Interactions.Medkit,"kepeken..."

# Crew Upgrades
EnemyCounter.Name,"ilo pi nanpa ike"
EnemyCounter.Description,"ilo li pana e nanpa pi jan ike lon tomo ni."
FuelEfficientPumps.Name,"ilo pi telo seli"
FuelEfficientPumps.Description,"sina jo e ilo ni la"
JuiceEfficientPumps.Name,"ilo pi telo kili"
JuiceEfficientPumps.Description,"ilo li pona e moku pi telo kili (33%)."
Upgrader.Name,"ilo pona"
Upgrader.Description,"ilo li pona e ilo ante lon ma ale"
AdvancedFlashlights.Name,"ilo suno wawa"
AdvancedFlashlights.Description,"ilo li pona e lukin jan."
