Key,Value

Stat.Speed,"wawa noka"
Stat.Damage,"wawa utala"
Stat.AttackSpeed,"tenpo utala"
Stat.AccuracyFlat,"wawa lukin"
Stat.ArmorFlat,"awen utala"
Stat.ArmorPercentage,"awen"
Stat.MovementSpeed,"wawa noka"
Stat.Unknown,"ala"

StatChange.ArmorFlat,"awen utala: {0}"
StatChange.ArmorPercentage,"awen: {0}"
StatChange.MovementSpeed,"wawa noka: {0}"
StatChange.Speed,"wawa noka: {0}"
StatChange.Damage,"wawa utala: {0}"
StatChange.AttackSpeed,"tenpo utala: {0}"
StatChange.AccuracyFlat,"wawa lukin: {0}"
StatChange.Unknown,"ala: {0}"

Effects.RegenerationEffect,"pona: {0} lon kipisi tenpo lili wan"
Effects.ProjectileStatusEffect,"kon pi kiwen tawa: {0}"

StatusEffects.Burning.Name,"seli"

Skills.Accuracy.Name,"wawa lukin"
Skills.Agility.Name,"wawa tawa"
Skills.Constitution.Name,"wawa sijelo"
Skills.HeavyConstitution.Name,"wawa sijelo suli"
Skills.Light.Name,"lili"
Skills.TriggerHappy.Name,"wile moli"


# Tooltip messages
LocationInteractions.AlreadyVisitedTooltip,"ma ni li pini."
LocationInteractions.NoCrewSelectedTooltip,"o pilin e jan."
LocationInteractions.NotEnoughFuel,"telo seli li ala."
LocationInteractions.BlockedTooltip,"jan ike lon nasin mi."
LocationInteractions.NoFuelTooltip,"telo seli li ala."
LocationInteractions.DisengagementCostTooltip,"telo seli li ala tan tawa weka."

Resources.Fuel.Tooltip,"o kepeken e <b>telo seli</b> tan tawa. ona li lon esun."
Resources.Juice.Tooltip,"<b>telo kili</b> li pona e jan lon tawa. ona li lon esun."
Resources.Money.Tooltip,"o kepeken e <b>mani</b> tan esun. o kama jo e mani tan kiwen esun, tan ilo esun."

# Button labels
LocationInteractions.Embark,"o tawa"
LocationInteractions.Dock,"o wan"
LocationInteractions.Disengage,"o tawa weka (3 telo seli)"
LocationInteractions.Inventory,"poki"
LocationInteractions.Upgrade,"o wawa"
LocationInteractions.Trade,"o esun"
LocationInteractions.Jump,"<b>tawa suli</b>"
# Shop UI
LocationInteractions.Shop.BuyFuel,"o esun e telo seli"
LocationInteractions.Shop.FuelPrice,"{0}$/1u"
LocationInteractions.Shop.BuyJuice,"o esun e telo kili"
LocationInteractions.Shop.JuicePrice,"{0}$/10u"

Trader.Breadator.Name,"jan Pan"
Trader.Breadator.Description,"ona li lawa pi utala ilo nanpa 3128. jan Pan li esun kiwen. ona esun e ilo wawa sin tan tomo tawa tan jan pi tomo tawa. jan toki e ni: tenpo pini la, ilo pi sama jan li wan tawa kipisi pan. ilo li kama jo e ko jan e wile lawa. o moku ala e pan lon poka sina a."
Trader.MadamEva.Name,"meli Ewa"
Trader.MadamEva.Description,"jan li toki e ni: tenpo pini la, meli Ewa li lawa wawa li esun e len e kiwen mani. tenpo ni la, ona li pana e ilo pona pi ala utala: poki pona, en ilo ante, en ilo len, en ilo pi sona wawa. jan sona ala e sona ni."
Trader.Meinhass.Name,"soweli Manasu"
Trader.Meinhass.Description,"jan esun nasa li esun e ilo utala pi wawa mute. ilo ona li monsuta. toki ona li monsuta. ona li wile e ni: lon la, pali pi pakala wawa a. jan li toki lili e ni: ona li open e esun kepeken pakala wawa. ona li moli e mama ona kepeken leko pakala wawa."
Trader.Treatie.Name,"soweli Sisi"
Trader.Treatie.Description,"jan esun pi ala pilin. pona li lon ala tawa ona. ona li wile e ni: moli pi tawa suli a. sina wile e ilo la, ilo ni li tawa suli e kiwen mute la, soweli Sisi li ken pona tawa sina."

# Crew List UI
CrewList.NoWeaponSelected,"ILO UTALA LI WEKA"
CrewList.Level,"wawa: {0}"

# Location Details UI

LocationDetails.NoSelection,"o pilin e ma"
LocationDetails.SelectToView,"o pilin e ma tan lukin sitelen mute"

LocationFeatures.Empty,"ma ala."
